[295, 61, 48, 666]
[294, 61, 48, 665]
[294, 61, 47, 665]
[293, 62, 48, 666]
[292, 61, 47, 665]
[299, 63, 49, 666]
[294, 62, 48, 666]
[291, 60, 48, 665]
[215, 51, 37, 660]
[251, 56, 43, 662]
[281, 62, 48, 665]
[300, 63, 51, 667]
[299, 63, 50, 667]
[287, 57, 46, 664]
[262, 53, 46, 663]
[241, 50, 45, 662]
[216, 46, 42, 661]
[198, 43, 41, 659]
[280, 56, 47, 664]
[291, 61, 48, 665]
[300, 63, 48, 666]
[294, 63, 48, 666]
[291, 62, 47, 666]
[291, 60, 47, 665]
[293, 61, 47, 665]
[291, 60, 48, 665]
[291, 61, 48, 665]
[291, 60, 48, 665]
[292, 61, 47, 665]
[265, 75, 53, 667]
[263, 75, 54, 667]
[262, 75, 53, 666]
[251, 74, 52, 666]
[225, 69, 48, 665]
[230, 68, 48, 664]
[244, 73, 50, 666]
[258, 76, 52, 667]
[263, 76, 53, 667]
[266, 76, 52, 667]
[268, 78, 53, 668]
[266, 76, 53, 667]
[263, 77, 52, 668]
[259, 72, 51, 666]
[258, 72, 50, 666]
[250, 71, 51, 666]
[256, 72, 51, 666]
[257, 71, 50, 666]
[263, 73, 53, 667]
[266, 75, 54, 668]
[240, 66, 52, 665]
[220, 61, 50, 663]
[262, 72, 53, 666]
[271, 77, 53, 668]
[270, 75, 53, 666]
[271, 76, 54, 667]
[270, 76, 53, 667]
[268, 78, 54, 668]
[265, 78, 53, 668]
[239, 72, 50, 665]
[227, 69, 47, 664]
[217, 65, 43, 662]
[256, 74, 52, 666]
[267, 76, 52, 667]
[273, 77, 55, 668]
[273, 78, 55, 669]
[268, 75, 52, 667]
[270, 78, 54, 669]
[267, 76, 52, 667]
[269, 76, 53, 667]
[267, 76, 52, 667]
[266, 78, 53, 668]
[265, 78, 54, 668]
[265, 76, 53, 667]
[259, 77, 53, 667]
[272, 78, 54, 668]
[272, 78, 55, 668]
[272, 78, 55, 668]
[272, 78, 54, 668]
[274, 77, 55, 668]
[274, 77, 54, 668]
